Instance,single_solution_cost,vehicle_number_obtained,vehicle_number_original,time
C101,44754.16576621679,12,25,2.6139819622039795
C102,49295.16786388356,11,25,3.4559080600738525
C103,59247.71362009309,11,25,2.1510672569274902
C104,61257.22131922535,11,25,3.0297369956970215
C105,44449.87086057915,12,25,2.0318470001220703
C106,45371.27631486194,12,25,2.814683198928833
C107,44426.16070896574,12,25,2.707453966140747
C108,46350.71445209107,12,25,2.6339550018310547
C109,47789.71912180974,11,25,2.298419952392578
C201,152231.78445477484,4,25,0.8254258632659912
C202,154033.876741042,4,25,0.8659272193908691
C203,163011.28256092162,4,25,1.1421027183532715
C204,169348.3170120762,4,25,1.92690110206604
C205,154522.16626556794,4,25,1.2498910427093506
C206,152367.35584913663,4,25,0.8832182884216309
C207,152342.17039442295,4,25,0.7446980476379395
C208,152264.5330991756,4,25,0.9898700714111328
R101,9828.55009703522,22,25,2.4914917945861816
R102,10556.998768326832,18,25,3.126563787460327
R103,10966.460875254565,16,25,2.6282577514648438
R104,10214.09981195899,12,25,2.791792154312134
R105,9770.697756926074,18,25,2.269134044647217
R106,10748.563682052129,15,25,2.168646812438965
R107,10900.233982201871,14,25,1.9857571125030518
R108,10606.882420140193,12,25,2.0208380222320557
R109,9818.81467403303,15,25,2.458479166030884
R110,10481.007451513142,14,25,2.2441749572753906
R111,11093.176429625344,14,25,2.4590790271759033
R112,10741.991642131816,12,25,3.019846200942993
R201,43983.70549903148,5,25,3.876415967941284
R202,52309.109924806624,4,25,3.530129909515381
R203,50171.64540650736,4,25,2.2138259410858154
R204,52348.65110756696,4,25,2.5426981449127197
R205,44814.840114823484,4,25,3.375213861465454
R206,52546.15283003327,3,25,2.9049391746520996
R207,56976.288383567764,3,25,3.3029470443725586
R208,56811.710190245314,3,25,2.716005802154541
R209,47115.27094498094,4,25,2.967276096343994
R210,50068.16150732955,4,25,2.7751080989837646
R211,46511.30832616484,3,25,2.982495069503784
RC101,10126.319205698852,19,25,2.219459056854248
RC102,11103.440541060969,17,25,2.4511680603027344
RC103,11870.409129727643,15,25,2.0290777683258057
RC104,9801.790008105341,12,25,3.180016040802002
RC105,10862.307051804108,18,25,2.1866891384124756
RC106,10262.981311445716,15,25,1.8675730228424072
RC107,11070.186987223986,14,25,2.33798885345459
RC108,11063.1057694228,13,25,2.587188959121704
RC201,41584.27778997079,5,25,2.734935998916626
RC202,44190.28883587342,4,25,3.031219005584717
RC203,54473.461112242134,4,25,3.8101389408111572
RC204,53717.01037489681,3,25,1.494642972946167
RC205,45178.20980724766,6,25,2.2809200286865234
RC206,42049.084568178914,4,25,2.5174880027770996
RC207,44791.18042160022,4,25,3.603050947189331
RC208,46771.09530472856,4,25,2.564358949661255
